x,y,t
10.5,32,1
13.4285714285714,30.5714285714286,2
7.57142857142857,30.4285714285714,3
7.57142857142857,30.4285714285714,4
12.5,31,5
12.5,31.5,6
9.3421052631579,31.1052631578947,7
10.5,31.5,8
6.42857142857143,30.5714285714286,9
6,30.5,10
6,30.5,11
6,30.5,12
6.57142857142857,30.5714285714286,13
6,30.5,14
6.05128205128205,30.4358974358974,15
6,30.5,16
5.42857142857143,30.4285714285714,17
5.33333333333333,30.3333333333333,18
6.42857142857143,30.5714285714286,19
7.5,31,20
8.05882352941176,26.4509803921569,21
9.55555555555556,28.4444444444444,22
9.14285714285714,28.3469387755102,23
9.5,28.5,24
9.5,28,25
9.2,28.3,26
9.5,28,27
9.54901960784314,27.9411764705882,28
9.54901960784314,27.9411764705882,29
9.5,28,30
9.2,28.3,31
8.60714285714286,27.4285714285714,32
7.5,25,33
9.12962962962963,21.1481481481481,34
5.5,21.5,35
5,21.5,36
5,22,37
4.33333333333333,20.3333333333333,38
4.66666666666667,20.3333333333333,39
4.5,21.5,40
5.5,24.5,41
4.6530612244898,19.1224489795918,42
10.4,9.9,43
11,8,44
7.5,18.5,45
7.44444444444444,19.4444444444444,46
7,23,47
8.60869565217391,24.3695652173913,48
8.55555555555556,23.4444444444444,49
8.5,24.5,50
13,21.5,51
NaN,NaN,52
11.1428571428571,22.6530612244898,53
10.5272727272727,23.5636363636364,54
11.0408163265306,23.5510204081633,55
11.1111111111111,23.1111111111111,56
11,24.5,57
10.7,24.8,58
10.5714285714286,24.4285714285714,59
9.375,25.125,60
9.5,24.5,61
11.3469387755102,22.8571428571429,62
13,22.5,63
14.0208333333333,19.4791666666667,64
13.6875,20.8125,65
10,16.5,66
12.4285714285714,20.4285714285714,67
12.5714285714286,19.4285714285714,68
12,20.5,69
7,22,70
NaN,NaN,71
5.44444444444444,14.6666666666667,72
5.14285714285714,14.6530612244898,73
11.5,16,74
6.5,15,75
9.45283018867925,17.0754716981132,76
8,21,77
9.81818181818182,19.1818181818182,78
10.9642857142857,5.92857142857143,79
9.5,10,80
9.33333333333333,14.3333333333333,81
10,8.5,82
11.5,6,83
9.42857142857143,12.9591836734694,84
10.4528301886792,7.07547169811321,85
6.15909090909091,17.8409090909091,86
7,17.5,87
7.57446808510638,17.4468085106383,88
9.09302325581395,17.8837209302326,89
10,14,90
10,14.5,91
9.5,14.5,92
10.0408163265306,15.469387755102,93
10.5,14.5,94
8.44444444444444,14.5555555555556,95
8.39130434782609,14.6304347826087,96
8,14.5,97
8,15.5,98
7.84090909090909,16.1590909090909,99
7.875,16.625,100
7,15.5,101
11.375,17.125,102
7.94871794871795,13.5641025641026,103
11.9,15.6,104
7.42857142857143,13.4285714285714,105
7.875,13.375,106
7.57142857142857,13.5714285714286,107
7.93181818181818,17.9545454545455,108
11,19.5,109
13.625,16.875,110
13.625,16.875,111
13.5555555555556,16.4444444444444,112
13.8571428571429,17.3469387755102,113
7.88888888888889,17.8888888888889,114
12.6666666666667,19.6666666666667,115
10.906976744186,18.8837209302326,116
14.4,17.9,117
15.4255319148936,17.5531914893617,118
15.4,18.1,119
14,15,120
10.375,10,121
5,11.5,122
11.5,11.5,123
11.0731707317073,11.4390243902439,124
11,11.625,125
9,13,126
11.9,16.4,127
12.9545454545455,16.9318181818182,128
15.6,18.9,129
16.125,21.375,130
15.875,21.375,131
15.875,21.375,132
15.6666666666667,18.6666666666667,133
15.5,19,134
15.6,18.9,135
15.4444444444444,17.4444444444444,136
15.4444444444444,17.4444444444444,137
15.4444444444444,18.5555555555556,138
15.875,19.375,139
16.0612244897959,18.530612244898,140
14.8571428571429,16.6530612244898,141
15.1041666666667,15.4166666666667,142
15.3333333333333,14.6666666666667,143
14.3333333333333,13.6666666666667,144
9.44897959183673,10.0408163265306,145
6.55813953488372,11.5348837209302,146
6.33333333333333,9.66666666666667,147
7.1875,12.3125,148
7.49019607843137,12.5882352941176,149
8,13.5,150
5,11,151
5,11,152
5,11,153
5,11,154
5,11,155
5,11,156
5,11,157
5,11,158
5,11,159
5,11,160
5,11,161
5,11,162
5,11,163
5,11,164
5,11,165
5,11,166
5,11,167
5,11,168
5,11,169
5,11,170
5,11,171
5,10.5,172
5,11,173
5,11,174
5,11,175
5,11,176
5,11,177
5,11,178
5,11,179
5,11,180
5,11,181
5,11,182
5,11,183
5,11,184
5,11,185
5,11,186
5,10.5,187
5,10.5,188
5,10.5,189
5,10.5,190
5,10.5,191
5,10.5,192
5,10.5,193
5,10.5,194
5,10.5,195
5,10.5,196
5,10.5,197
5,10.5,198
5,10.5,199
5,10.5,200
5,10.5,201
5,10.5,202
5,10.5,203
5,10.5,204
5,10.5,205
5,10.5,206
5,10.5,207
5.42857142857143,10.5714285714286,208
5,10.5,209
5,10.5,210
5,10.5,211
5.42857142857143,10.5714285714286,212
5,10.5,213
5.42857142857143,10.5714285714286,214
5.42857142857143,10.5714285714286,215
5.42857142857143,10.5714285714286,216
5.42857142857143,10.5714285714286,217
5.42857142857143,10.5714285714286,218
5,10.5,219
5,10.5,220
5,10.5,221
5.42857142857143,10.5714285714286,222
5,10.5,223
5,10.5,224
5,10.5,225
5,10.5,226
5.42857142857143,10.5714285714286,227
5.42857142857143,10.5714285714286,228
5.42857142857143,10.5714285714286,229
5.42857142857143,10.5714285714286,230
5.42857142857143,10.5714285714286,231
5.42857142857143,10.5714285714286,232
5.42857142857143,10.5714285714286,233
5.42857142857143,10.5714285714286,234
5.42857142857143,10.5714285714286,235
5.42857142857143,10.5714285714286,236
5.42857142857143,10.5714285714286,237
5.42857142857143,10.5714285714286,238
5.42857142857143,10.5714285714286,239
5.42857142857143,10.5714285714286,240
5.42857142857143,10.5714285714286,241
5.42857142857143,10.5714285714286,242
5.42857142857143,10.5714285714286,243
5.42857142857143,10.5714285714286,244
5.42857142857143,10.5714285714286,245
5.42857142857143,10.5714285714286,246
5.42857142857143,10.5714285714286,247
5.42857142857143,10.5714285714286,248
5.42857142857143,10.5714285714286,249
5.42857142857143,10.5714285714286,250
5.42857142857143,10.5714285714286,251
5.42857142857143,10.5714285714286,252
5.42857142857143,10.5714285714286,253
5.625,10,254
6,3,255
7,3,256
9.16279069767442,2.90697674418605,257
8.5,2.5,258
17,3,259
16.5897435897436,2.94871794871795,260
16,3,261
15.5,3,262
13,3,263
12.9117647058824,2.94117647058824,264
12.9117647058824,2.94117647058824,265
12.9117647058824,2.94117647058824,266
12.9117647058824,2.94117647058824,267
12.9117647058824,2.94117647058824,268
12.9117647058824,2.94117647058824,269
8,2.87878787878788,270
14,3,271
7.57142857142857,3.42857142857143,272
15.1764705882353,3.35294117647059,273
18.0731707317073,3.4390243902439,274
18,3.5,275
18.0731707317073,3.4390243902439,276
18,3.5,277
17.5,3,278
13.4528301886792,4.47169811320755,279
13.8125,4.3125,280
13.4444444444444,3.33333333333333,281
15.5,3,282
7.41379310344828,2.93103448275862,283
8.08823529411765,2.94117647058824,284
7.64705882352941,3.38235294117647,285
8.58974358974359,2.94871794871795,286
13.4137931034483,2.93103448275862,287
9,6.5,288
8.625,4.125,289
8.66666666666667,4.66666666666667,290
9,4,291
8.41379310344828,2.93103448275862,292
9.5,3,293
14,3,294
14.5,8,295
11.98,10.46,296
6.55555555555556,3.55555555555556,297
9.44897959183673,8.04081632653061,298
9.44897959183673,8.04081632653061,299
9.5,8,300
9.44897959183673,8.04081632653061,301
9.44897959183673,8.04081632653061,302
9.44897959183673,8.04081632653061,303
9.44897959183673,8.04081632653061,304
9.44897959183673,8.04081632653061,305
9.44897959183673,8.04081632653061,306
9.44897959183673,8.04081632653061,307
9.44897959183673,8.04081632653061,308
9.5,8.5,309
9.5,8.5,310
9.8,7.7,311
13.9090909090909,3.90909090909091,312
15.6304347826087,3.39130434782609,313
15.6304347826087,3.39130434782609,314
15.5555555555556,3.44444444444444,315
15.6304347826087,3.39130434782609,316
12.5,3,317
12.9268292682927,3.4390243902439,318
12.9268292682927,3.4390243902439,319
7.84848484848485,2.87878787878788,320
8.5,2.5,321
8.5,2.5,322
8.5,2.5,323
8,2.87878787878788,324
8,2.5,325
8,2.5,326
8,2.5,327
8,2.5,328
8,2.5,329
8,2.5,330
8,2.5,331
8,2.87878787878788,332
8,2.5,333
8,2.87878787878788,334
7.5,2.5,335
7.58620689655172,2.93103448275862,336
8,2.87878787878788,337
8,2.87878787878788,338
8,2.87878787878788,339
7.58620689655172,2.93103448275862,340
7.58620689655172,2.93103448275862,341
8,2.87878787878788,342
7.5,2.5,343
7.58620689655172,2.93103448275862,344
7.58620689655172,2.93103448275862,345
8,2.87878787878788,346
8,2.87878787878788,347
8,2.87878787878788,348
8.08823529411765,2.94117647058824,349
7.58620689655172,2.93103448275862,350
7.58620689655172,2.93103448275862,351
8,2.87878787878788,352
7.58620689655172,2.93103448275862,353
8,2.5,354
8,2.87878787878788,355
8,2.87878787878788,356
8,2.87878787878788,357
8,2.87878787878788,358
8,2.87878787878788,359
7.58620689655172,2.93103448275862,360
8,2.87878787878788,361
8,2.87878787878788,362
7.58620689655172,2.93103448275862,363
8,2.87878787878788,364
7.58620689655172,2.93103448275862,365
7.58620689655172,2.93103448275862,366
7.58620689655172,2.93103448275862,367
7.58620689655172,2.93103448275862,368
7.58620689655172,2.93103448275862,369
7.58620689655172,2.93103448275862,370
7.58620689655172,2.93103448275862,371
