x,y,t
4,3,1
4,3,2
4,3,3
NaN,NaN,4
4,3,5
4,3,6
3.58620689655172,2.93103448275862,7
4,3,8
4,3,9
3.58620689655172,2.93103448275862,10
NaN,NaN,11
16,3.5,12
3.5,3,13
NaN,NaN,14
15.9,3.3,15
19,3,16
16.5,3,17
NaN,NaN,18
NaN,NaN,19
NaN,NaN,20
NaN,NaN,21
NaN,NaN,22
11,3,23
NaN,NaN,24
NaN,NaN,25
3.5,3,26
8.5,4.5,27
NaN,NaN,28
16.8235294117647,3.35294117647059,29
6.5,3,30
8,3,31
NaN,NaN,32
13.8235294117647,3.35294117647059,33
8.875,3.375,34
3,3,35
14.5744680851064,3.4468085106383,36
16,3,37
6.1,3.7,38
13.5714285714286,7.42857142857143,39
11,4,40
3.5,3,41
3.5,3,42
3.5,3,43
3.5,3,44
3.5,3,45
3.5,3,46
3.5,3,47
3.5,3,48
3.5,3,49
3.5,3,50
3.5,3,51
3.5,3,52
3.5,3,53
3.5,3,54
11.5,3.41379310344828,55
8,3,56
11.9268292682927,3.4390243902439,57
16.2777777777778,3.24074074074074,58
NaN,NaN,59
3.42857142857143,3.42857142857143,60
16.9090909090909,5.09090909090909,61
4.44444444444444,3.33333333333333,62
10.9245283018868,3.45283018867925,63
4,3,64
6.49019607843137,4.41176470588235,65
20,5.5,66
19,3,67
NaN,NaN,68
14.5762711864407,3.45762711864407,69
NaN,NaN,70
7.33333333333333,6.68518518518519,71
4.5,3,72
6.57446808510638,3.4468085106383,73
6.17647058823529,3.35294117647059,74
6.6304347826087,3.39130434782609,75
6.66666666666667,3.33333333333333,76
6.17647058823529,3.35294117647059,77
6.6304347826087,3.39130434782609,78
6.6304347826087,3.39130434782609,79
7.95081967213115,3.29508196721311,80
6.6304347826087,3.39130434782609,81
6.6304347826087,3.39130434782609,82
6.6304347826087,3.39130434782609,83
6.6304347826087,3.39130434782609,84
6.6304347826087,3.39130434782609,85
6.6304347826087,3.39130434782609,86
6.17647058823529,3.35294117647059,87
6.6304347826087,3.39130434782609,88
6.6304347826087,3.39130434782609,89
6.6304347826087,3.39130434782609,90
6.6304347826087,3.39130434782609,91
6.6304347826087,3.39130434782609,92
6.6304347826087,3.39130434782609,93
6.6304347826087,3.39130434782609,94
7.60714285714286,3.32142857142857,95
6,3,96
14.2,3.29090909090909,97
10.0754716981132,3.45283018867925,98
10.5555555555556,3.33333333333333,99
10.5555555555556,3.33333333333333,100
10.5555555555556,3.33333333333333,101
10.5555555555556,3.33333333333333,102
10.5555555555556,3.33333333333333,103
10.5555555555556,3.33333333333333,104
10.5,3.39130434782609,105
10.5555555555556,3.33333333333333,106
10.5,3.39130434782609,107
10.5,3.39130434782609,108
10.5714285714286,3.42857142857143,109
12.9821428571429,4.94642857142857,110
3,6,111
NaN,NaN,112
18.5862068965517,2.93103448275862,113
3,4.5,114
14.7948717948718,3.33333333333333,115
14,5,116
5,3,117
4,3,118
11.7169811320755,6.28301886792453,119
3.5,3,120
18,2.5,121
15.8653846153846,3.40384615384615,122
11,3.40384615384615,123
8.90163934426229,10.3606557377049,124
7,3,125
3,3,126
11.5,3,127
10.5,3,128
10.5,3,129
10.5,3,130
11,3,131
11,3,132
11,3,133
11,3,134
10.5,3,135
11,3,136
11,3,137
NaN,NaN,138
9.05882352941176,3.45098039215686,139
NaN,NaN,140
3,3,141
3,3,142
3,3,143
2.5,3,144
3,3,145
2.5,3,146
2.5,3,147
13.3636363636364,3.27272727272727,148
NaN,NaN,149
NaN,NaN,150
NaN,NaN,151
NaN,NaN,152
NaN,NaN,153
NaN,NaN,154
NaN,NaN,155
NaN,NaN,156
NaN,NaN,157
NaN,NaN,158
NaN,NaN,159
NaN,NaN,160
NaN,NaN,161
NaN,NaN,162
NaN,NaN,163
NaN,NaN,164
NaN,NaN,165
NaN,NaN,166
NaN,NaN,167
NaN,NaN,168
NaN,NaN,169
NaN,NaN,170
NaN,NaN,171
3.42857142857143,3.42857142857143,172
7,3.5,173
17.4102564102564,2.94871794871795,174
13.530612244898,5.06122448979592,175
17.9,5.6,176
8,28,177
18.0882352941176,2.94117647058824,178
13.9090909090909,3.90909090909091,179
13.5,4,180
13.5,4,181
12.8235294117647,3.35294117647059,182
14.4313725490196,3.96078431372549,183
14,3.5,184
14,3.5,185
14.0652173913043,3.93478260869565,186
13.0731707317073,3.5609756097561,187
11.8888888888889,4.11111111111111,188
11.9565217391304,4.06521739130435,189
16.9318181818182,3.95454545454545,190
16.8679245283019,3.84905660377358,191
3.5,3,192
7,3.5,193
NaN,NaN,194
13.625,4,195
11.5,3,196
11.5,3,197
11.5,3,198
11.5,3,199
11.5,3,200
12.5,3,201
11.5,3,202
11.5,3,203
18,3,204
3.5,3.5,205
8,3,206
17.5,3,207
17.5,3,208
17.5,3,209
17.5,3,210
17.5,3,211
17.5,3,212
17.5,3,213
17.5,3,214
17.5,3,215
17.5,3,216
17.5,3,217
5,3,218
15.8571428571429,4.3469387755102,219
NaN,NaN,220
