x,y,t
20.6363636363636,26.6363636363636,1
20.6363636363636,26.6363636363636,2
20.6363636363636,26.6363636363636,3
20.2,26.7,4
20.2,26.7,5
20.1,26.6,6
17.140625,27.421875,7
7.68421052631579,3.36842105263158,8
14.5,27.0833333333333,9
12.9074074074074,2.96296296296296,10
22,27,11
7.63636363636364,12.3636363636364,12
11.9411764705882,3.35294117647059,13
22,20.5,14
9.45454545454546,11.4545454545455,15
16.0925925925926,2.96296296296296,16
16.0172413793103,25.5172413793103,17
22.5,30.5,18
16.1346153846154,30.5961538461538,19
16.46,29.98,20
19.9622641509434,29.0754716981132,21
15.5862068965517,12.3620689655172,22
9.07142857142857,3.96428571428571,23
12.4102564102564,2.94871794871795,24
9.56410256410256,24.9487179487179,25
20.5714285714286,27.5714285714286,26
13.6734693877551,30.1224489795918,27
11.4137931034483,4.91379310344828,28
17.125,3.375,29
16.5897435897436,2.94871794871795,30
16.9117647058824,2.94117647058824,31
17,3,32
17,3,33
17,3,34
17,3,35
17,3,36
17,3,37
17,3,38
17.0882352941176,2.94117647058824,39
17.0882352941176,2.94117647058824,40
17,3,41
17.0882352941176,2.94117647058824,42
17.0882352941176,2.94117647058824,43
17,3,44
17.0882352941176,2.94117647058824,45
17.0882352941176,2.94117647058824,46
17,3,47
17.0882352941176,2.94117647058824,48
17.0882352941176,2.94117647058824,49
17.5675675675676,2.83783783783784,50
17.5,2.89473684210526,51
17.5675675675676,2.83783783783784,52
17.1515151515152,2.87878787878788,53
17.1515151515152,2.87878787878788,54
17.5,3,55
17.0882352941176,2.94117647058824,56
17.5,3,57
13.4067796610169,2.96610169491525,58
16.7142857142857,3.32142857142857,59
19.9090909090909,7.09090909090909,60
19.5609756097561,6.92682926829268,61
20.5714285714286,4.42857142857143,62
13.7457627118644,3.22033898305085,63
13,3,64
13,3,65
13,3,66
12.4444444444444,3.33333333333333,67
13,3,68
11.4255319148936,3.4468085106383,69
11.9268292682927,3.4390243902439,70
11.9268292682927,3.4390243902439,71
11.9268292682927,3.4390243902439,72
11.5,3.39130434782609,73
12.5,3,74
12.5,3,75
