x,y,t
8.40816326530612,9.6530612244898,1
7,9,2
11,31.5,3
19,6.5,4
20.5,7,5
13,25,6
9,27,7
9.5,27,8
15,5,9
14.5,24.5,10
14,26,11
14,26,12
13,28.5,13
17.5,17,14
15.0943396226415,9.07547169811321,15
19,19.5,16
6.89130434782609,5.43478260869565,17
16.5,5,18
NaN,NaN,19
11.5,29.5,20
11,29.5,21
NaN,NaN,22
12,32,23
12,31.5,24
NaN,NaN,25
20.5,15,26
17.4651162790698,4.44186046511628,27
17,23,28
13.5,15,29
13,8,30
19.5,3.5,31
15.5,3.5,32
14,29,33
14,27,34
10,32,35
7.5,28,36
10,26,37
NaN,NaN,38
20,17,39
17,10,40
13,32,41
9.57142857142857,4.57142857142857,42
16,3.5,43
13,22.5,44
20,4.5,45
20.4468085106383,12.9787234042553,46
10.6595744680851,30.8723404255319,47
9,28,48
13,5.5,49
12.5744680851064,30.4468085106383,50
5,5,51
11.5909090909091,30.6136363636364,52
17,8.5,53
8.5,18,54
16.5,30,55
16,31,56
10,15.5,57
10,16,58
10,16,59
16,31,60
18,18,61
5,5.5,62
8,31,63
13.9230769230769,5.98076923076923,64
14,6,65
12.5,32,66
21,24.5,67
19.5531914893617,5.02127659574468,68
6.5,6,69
16,21,70
NaN,NaN,71
13,32,72
12,32,73
16.5,18,74
17.5,7,75
7,23,76
20.52,28.48,77
10.5,17,78
11,17,79
16.0625,21.6041666666667,80
9,4.5,81
17.5,24.5,82
17.1764705882353,4.64705882352941,83
16,31,84
21,20,85
19.4166666666667,16.1041666666667,86
13.5,7,87
NaN,NaN,88
17.5531914893617,5.02127659574468,89
17.5714285714286,3.42857142857143,90
7,6,91
8.5,4,92
9,4.5,93
NaN,NaN,94
8.94871794871795,25.5641025641026,95
8,25,96
21,8,97
8.5,28,98
9,28,99
10,27.5,100
9.9,27.4,101
10.5,28,102
12.0212765957447,27.5531914893617,103
22,21,104
18.0512820512821,9.43589743589744,105
18.4358974358974,9.05128205128205,106
11.5,26.5,107
19.4090909090909,30.3863636363636,108
17.9807692307692,5.05769230769231,109
18.9591836734694,30.4489795918367,110
10.4090909090909,31.6136363636364,111
8,28,112
9,9,113
15.5,12,114
15.6666666666667,12.3333333333333,115
16.921568627451,19.0980392156863,116
13,33,117
9.5,32,118
NaN,NaN,119
8,26,120
8,27,121
8,27,122
6,6,123
10,26.5,124
9,29.5,125
19,14.5,126
22,29,127
20.0512820512821,29.5641025641026,128
20,29,129
21.5,29,130
21.5,29,131
13.5,31.5,132
12.5,32,133
8.5,32,134
12.5,31,135
10.9787234042553,31.4468085106383,136
12.5,31,137
12.5,31,138
15.5,5,139
NaN,NaN,140
20.1224489795918,29.6530612244898,141
9,10,142
20.5909090909091,30.6136363636364,143
10.5,4,144
19.5,3,145
20.921568627451,18.9019607843137,146
12.5,32,147
21.5,29.5,148
21,21,149
