x,y,t
NaN,NaN,1
19.4038461538462,21.5384615384615,2
16.7555555555556,4.31111111111111,3
9.81481481481481,30.7592592592593,4
17.8958333333333,29.5833333333333,5
15.1929824561404,5.28070175438596,6
NaN,NaN,7
18.5,30.5,8
19.5,31,9
19,30.5,10
NaN,NaN,11
19,31,12
NaN,NaN,13
NaN,NaN,14
NaN,NaN,15
13.5531914893617,11.9787234042553,16
19,6.5,17
NaN,NaN,18
8.11864406779661,26.6440677966102,19
10.890625,12.9375,20
17,18,21
21,11,22
6,28.5,23
15.4761904761905,26.5396825396825,24
18.4038461538462,10.4615384615385,25
6.94871794871795,30.5641025641026,26
17.7894736842105,14.3333333333333,27
8,30,28
13.5762711864407,30.5423728813559,29
13.6458333333333,3.22916666666667,30
7,2.5,31
20.4358974358974,6.05128205128205,32
8,5.5,33
19,2.5,34
4.5531914893617,18.9787234042553,35
NaN,NaN,36
18.5,31,37
NaN,NaN,38
10,30.5,39
6.5,27,40
6.5,28.5,41
5,26.5,42
17.5714285714286,30.5714285714286,43
18,31,44
6,2.5,45
11.7272727272727,10.7272727272727,46
7.5,2.5,47
5,30,48
20.5581395348837,4.53488372093023,49
11.3469387755102,29.1224489795918,50
16,30.5,51
8.05128205128205,30.4358974358974,52
18,31,53
7.5,31,54
11.031746031746,25.984126984127,55
4.88372093023256,3.90697674418605,56
15.1960784313725,11.1176470588235,57
4,2.5,58
NaN,NaN,59
21,30,60
NaN,NaN,61
7.57142857142857,30.5714285714286,62
8,31,63
8.5,30.5,64
8.5,31.5,65
18.0408163265306,30.4489795918367,66
13.5,9,67
14.0555555555556,14.037037037037,68
14.2881355932203,12.7796610169492,69
15.0350877192982,12.5438596491228,70
14.7272727272727,11.7272727272727,71
14.7272727272727,11.7272727272727,72
7,2.5,73
10.4545454545455,6.92424242424242,74
11.3148148148148,27.3518518518519,75
6.5,29,76
20.5862068965517,2.93103448275862,77
21,11.5,78
7.45098039215686,12.4901960784314,79
NaN,NaN,80
6.41379310344828,2.93103448275862,81
21,18,82
NaN,NaN,83
8,8,84
7.41379310344828,2.93103448275862,85
15.5,30.5,86
21,23,87
14,12.5,88
14.3333333333333,11.8333333333333,89
14.25,11.8333333333333,90
13.8070175438596,11.719298245614,91
17.0512820512821,17.5641025641026,92
17.5,31,93
19.5,31,94
16.875,30.625,95
19.4827586206897,20.0344827586207,96
5,22.5,97
18,2.90697674418605,98
6,2.5,99
18.5,2.5,100
12,5,101
NaN,NaN,102
19.5897435897436,2.94871794871795,103
6.5,3,104
14.3255813953488,3.34883720930233,105
3.64150943396226,5.41509433962264,106
9,2.5,107
20.5,3.5,108
5.70454545454545,3.25,109
19,29,110
14.4516129032258,21.0161290322581,111
17.5,31,112
18,30.5,113
18.5,31,114
13.5,8.5,115
13.5,8.5,116
13.7272727272727,7.72727272727273,117
13.7272727272727,7.72727272727273,118
16.3421052631579,2.89473684210526,119
16.9423076923077,11.9807692307692,120
16,12,121
16.6136363636364,12.5909090909091,122
16.2413793103448,12.7413793103448,123
16.2413793103448,12.7413793103448,124
16.2105263157895,12.6666666666667,125
16.6041666666667,12.0625,126
16.8846153846154,11.8269230769231,127
15.6041666666667,11.9375,128
14.4561403508772,12.0175438596491,129
14.4561403508772,12.0175438596491,130
14.4561403508772,12.0175438596491,131
14.4561403508772,12.0175438596491,132
13.156862745098,12.1960784313725,133
13.5438596491228,12.0175438596491,134
13.2321428571429,11.7321428571429,135
13.280701754386,11.7543859649123,136
13.280701754386,11.7543859649123,137
13.280701754386,11.7543859649123,138
13.962962962963,11.0740740740741,139
14.9310344827586,12.6034482758621,140
15.2280701754386,12.280701754386,141
15.2280701754386,12.280701754386,142
15.4912280701754,13.0701754385965,143
15.2280701754386,12.280701754386,144
16.5555555555556,12.5555555555556,145
15.4912280701754,13.0701754385965,146
7,14,147
15.0892857142857,5.44642857142857,148
19.5,15.5,149
18.2280701754386,4.71929824561404,150
6,2.5,151
18,2.5,152
21,27,153
18,31,154
12.9387755102041,4.48979591836735,155
21,13.5,156
21,11.5,157
6.27272727272727,3.27272727272727,158
17.5,4.5,159
19.3913043478261,2.43478260869565,160
18.5,2.5,161
19.5,2.5,162
5.5,2.5,163
17,28,164
6.5,31,165
19.5,30.5,166
21,16.5,167
6,2.5,168
5.9811320754717,22.0377358490566,169
15.5,24.6086956521739,170
15.5909090909091,25.3863636363636,171
16.2,24.7,172
19.6041666666667,4.9375,173
15.2727272727273,12.2727272727273,174
17,31,175
17.5555555555556,30.4444444444444,176
20.6785714285714,7.39285714285714,177
11.4102564102564,2.94871794871795,178
5.6304347826087,2.82608695652174,179
6,30,180
6,2.5,181
21,30,182
19,11,183
19,2.5,184
5.23913043478261,2.82608695652174,185
21,3,186
16.4137931034483,17.948275862069,187
16.7049180327869,18.2459016393443,188
16.5,18,189
16.7272727272727,18.4545454545455,190
16.5,18.5,191
16.5423728813559,18.5762711864407,192
16.0961538461538,18.5192307692308,193
15.7272727272727,20.7272727272727,194
10.5,31,195
10.2,30.3,196
11,30.625,197
17,31,198
7,31.5,199
10.5,31,200
18.5,30.5,201
16.5,31,202
3,5,203
18.5,2.5,204
17,31,205
11,31,206
14.0862068965517,16.5689655172414,207
21,3.5,208
5.15151515151515,2.87878787878788,209
16.5,28,210
19.5,31,211
16.875,30.625,212
16.875,30.625,213
18,30.5,214
18.5,31,215
18.5,31,216
18.5,31,217
19,31,218
13,31,219
NaN,NaN,220
13,30,221
12.5,31,222
13.5531914893617,30.0425531914894,223
8.13461538461539,26.4038461538462,224
17.4418604651163,4.46511627906977,225
NaN,NaN,226
20,2.5,227
5.3695652173913,13.3913043478261,228
15.0689655172414,28.6034482758621,229
14.7551020408163,29.2040816326531,230
14.5,27.5,231
14.3214285714286,27.2857142857143,232
11.2459016393443,30.7049180327869,233
13,31,234
20.5,31,235
12.9,30.4,236
10.9245283018868,30.5471698113208,237
10.5,31,238
13.9074074074074,31.037037037037,239
15.4,30.1,240
17,29,241
16.4166666666667,30.0833333333333,242
19.0454545454545,30.0454545454545,243
18,31,244
9.45454545454546,30.7272727272727,245
5,30.5,246
16.6666666666667,4.33333333333333,247
17,4.5,248
17,4.5,249
13.5,2.5,250
10.3541666666667,3.22916666666667,251
18,7,252
12,31,253
7,31.5,254
7,31,255
7,31.093023255814,256
7.5,30.5,257
6.83720930232558,31.093023255814,258
8.75,30.7045454545455,259
6.08823529411765,31.0588235294118,260
6.08823529411765,31.0588235294118,261
6.08823529411765,31.0588235294118,262
6,31,263
18.875,30.625,264
17.5,30.6086956521739,265
7.09090909090909,31.0454545454545,266
6.63636363636364,30.7045454545455,267
7,31,268
6.5,31,269
12.5348837209302,30.5581395348837,270
12.0512820512821,30.5641025641026,271
NaN,NaN,272
NaN,NaN,273
18.5,31,274
NaN,NaN,275
NaN,NaN,276
NaN,NaN,277
NaN,NaN,278
11,31,279
