x,y,t
13.5,2.5,1
12.2765957446809,2.87234042553191,2
14,2.5,3
14.5,2.5,4
15,2.5,5
12.5,2.5,6
12,2.5,7
19,2.5,8
11.5,2.5,9
11.2745098039216,2.84313725490196,10
17,2.5,11
6,2.5,12
13.5,2.5,13
17,2.5,14
10,2.5,15
16,2.5,16
15,2.5,17
7.5,2.5,18
14,2.87878787878788,19
15.5,2.5,20
7.76086956521739,2.82608695652174,21
15.4324324324324,2.83783783783784,22
16,2.5,23
17,3,24
15.5,2.5,25
7.5,2.5,26
10.5,2.5,27
15.3421052631579,2.89473684210526,28
13.5918367346939,2.95918367346939,29
9,2.5,30
5.01960784313725,3.13725490196078,31
18,2.5,32
18.0882352941176,2.94117647058824,33
12.3421052631579,2.89473684210526,34
14,2.5,35
8,2.5,36
14.3421052631579,2.89473684210526,37
13,2.5,38
13,2.5,39
15.5,2.5,40
10,2.5,41
8,2.5,42
4.08823529411765,2.94117647058824,43
7,2.5,44
17.5,2.5,45
12,2.5,46
17.5,2.5,47
6.5,2.5,48
7.5,2.5,49
16,2.5,50
7,2.5,51
14.377358490566,3.66037735849057,52
16.9285714285714,2.85714285714286,53
10,2.5,54
10.7959183673469,2.75510204081633,55
14,2.5,56
13.5,2.5,57
15.5,2.5,58
11,2.5,59
7.74576271186441,3.30508474576271,60
13.5,2.5,61
9.30909090909091,2.81818181818182,62
18.6530612244898,9.12244897959184,63
13.3,4.8,64
17,2.5,65
15.5675675675676,2.83783783783784,66
14,2.5,67
11.5,2.5,68
12,2.5,69
8,2.90697674418605,70
6,2.5,71
NaN,NaN,72
7,2.5,73
16,2.5,74
11.7234042553191,2.87234042553191,75
12.5,2.91666666666667,76
14,2.5,77
14,2.5,78
14,2.5,79
13.5,2.5,80
13.5,2.5,81
13.5,2.5,82
12.5,2.5,83
15,2.5,84
15,2.5,85
9.5,2.5,86
17.5,2.5,87
9.5,2.5,88
9.5,2.5,89
9.5,2.5,90
9.5,2.5,91
9.5,2.5,92
9.5,2.5,93
9,2.5,94
7.5,2.5,95
9.5,2.5,96
8.5,2.5,97
12,2.5,98
11,2.5,99
10.5,2.5,100
11,2.5,101
10.5,2.5,102
13.5,2.5,103
10.5,2.5,104
10.5,2.5,105
9.5,2.5,106
10,2.5,107
11.5,2.5,108
9.5,3,109
7,2.5,110
9.5,2.5,111
8.79591836734694,2.75510204081633,112
12,2.5,113
12.5,2.5,114
8,2.5,115
8,2.5,116
8,2.5,117
8,2.5,118
17,2.5,119
16.5,2.5,120
7.5,2.5,121
8,2.5,122
18,2.5,123
16.5,2.5,124
8,2.5,125
8,2.5,126
10.5,2.5,127
10.5,2.5,128
11,2.5,129
9,2.5,130
13.5,2.5,131
13,2.5,132
8.5,2.5,133
8.5,2.5,134
8.5,2.5,135
8.75609756097561,2.80487804878049,136
7.5,2.5,137
7.5,2.5,138
8.5,2.5,139
8.5,2.5,140
13.3333333333333,2.77777777777778,141
16,2.5,142
8.72340425531915,2.87234042553191,143
12,2.5,144
12,2.5,145
12,2.5,146
12,2.5,147
12,2.5,148
12,2.5,149
11,2.5,150
10.5,2.5,151
9.5,2.5,152
10,2.5,153
9.5,2.5,154
9.5,2.5,155
9.5,2.5,156
11.5,2.5,157
15,2.5,158
12.5,2.5,159
12.5,2.5,160
12.5,2.5,161
12.5,2.5,162
13.5,2.5,163
14,2.5,164
13.5,2.5,165
13.5,2.5,166
13.5,2.5,167
13.5,2.5,168
11,2.5,169
11.5,2.5,170
11.5,2.5,171
11.5,2.5,172
11,2.5,173
11,2.5,174
10.5,2.5,175
11,2.5,176
11,2.5,177
11,2.5,178
11.5,2.5,179
10.5,2.5,180
10.5,2.5,181
10.5,2.5,182
10.5,2.5,183
10.5,2.5,184
10.5,2.5,185
10.5,2.5,186
10.5,2.5,187
10.5,2.5,188
10.5,2.5,189
13.7777777777778,2.77777777777778,190
11.6304347826087,2.82608695652174,191
16.1219512195122,2.80487804878049,192
13.26,3.32,193
8.5,2.5,194
11.3333333333333,2.91666666666667,195
10.8163265306122,3.26530612244898,196
10.8703703703704,3.25925925925926,197
11.6304347826087,3.39130434782609,198
10,3,199
10,3,200
11.9117647058824,2.94117647058824,201
12,3,202
12.9117647058824,2.94117647058824,203
12,3,204
11.9090909090909,2.95454545454545,205
14.5,2.5,206
16.5,2.5,207
7.5,2.5,208
14,2.5,209
14.5,2.5,210
11.5,2.5,211
12,2.5,212
11.5,2.5,213
12,2.5,214
9.5,2.5,215
10.5,2.5,216
10.5,2.5,217
10,2.5,218
10.5,2.5,219
11,2.5,220
11,2.5,221
11,2.5,222
9.5,2.5,223
11.5,2.5,224
8.5,2.5,225
8.5,2.5,226
8,2.5,227
9.5,2.5,228
9.5,2.5,229
9,2.5,230
8,2.5,231
7.5,2.5,232
7,2.5,233
11.5,2.5,234
10.5,2.5,235
8.66666666666667,2.77777777777778,236
7.5,2.5,237
6,2.5,238
9,2.5,239
8.5,2.5,240
8,2.5,241
8.5,2.5,242
10.5,2.5,243
7.5,2.5,244
7,2.5,245
8,2.5,246
9,2.5,247
10.4102564102564,2.94871794871795,248
13.0714285714286,2.85714285714286,249
15,2.5,250
9,2.5,251
7.5,2.5,252
6.5,2.5,253
9,2.5,254
7.5,2.5,255
5.5,2.5,256
12.5,2.5,257
9,2.5,258
10.5,2.5,259
10,2.5,260
11,2.5,261
8.5,2.5,262
7,2.5,263
10,2.5,264
7.5,2.5,265
10,2.5,266
10.5,2.5,267
9,2.5,268
8,2.5,269
13.5,2.5,270
7.5,2.5,271
9.5,2.5,272
9.5,2.5,273
9,2.5,274
9.5,2.5,275
8,2.5,276
7.5,2.5,277
7,2.5,278
7.5,2.5,279
7,2.5,280
5.5,2.5,281
7.5,2.5,282
8,2.5,283
11.5,2.5,284
16.5,2.5,285
9,2.5,286
9.5,2.5,287
8.5,2.5,288
8.5,2.5,289
9,2.5,290
10.5,2.5,291
11.5,2.5,292
9,2.5,293
8,2.5,294
10,2.5,295
10,2.5,296
8.5,2.5,297
9,2.5,298
8.5,2.5,299
9,2.5,300
8,2.5,301
8,2.5,302
5.5,2.5,303
8,2.5,304
9,2.5,305
8,2.5,306
11.5,2.5,307
8,2.5,308
8.5,2.5,309
9,2.5,310
9,2.5,311
6.5,2.5,312
7,2.5,313
6.5,2.5,314
8,2.5,315
8,2.5,316
7.5,2.5,317
14,2.5,318
12,2.5,319
6,2.5,320
6.5,2.5,321
NaN,NaN,322
6,2.5,323
5.5,2.5,324
4.5,2.5,325
8.5,2.5,326
9,2.5,327
10,2.5,328
9,2.5,329
8,2.5,330
5.5609756097561,4.07317073170732,331
5.5,2.5,332
6.74,3.32,333
9.21428571428571,2.85714285714286,334
6.08823529411765,2.94117647058824,335
9.5,2.5,336
9.5,2.5,337
14.375,3.875,338
8.5,2.5,339
9,2.5,340
9,2.5,341
8.5,2.5,342
9.5,2.5,343
9.5,2.5,344
10,2.5,345
15,2.5,346
7.5,2.5,347
8,2.5,348
9,2.5,349
8.5,2.5,350
8,2.5,351
10,2.5,352
9.5,2.5,353
7,2.5,354
13.5,2.5,355
17.5,2.5,356
14.5,2.5,357
20,4.5,358
8,3.375,359
6.83720930232558,2.90697674418605,360
7,2.5,361
10,2.5,362
18,2.5,363
8.5,2.5,364
17.1219512195122,2.80487804878049,365
9.5,2.5,366
12,2.5,367
6.61538461538461,2.46153846153846,368
6.5,2.5,369
8,2.71929824561404,370
6,2.5,371
4,2.5,372
3.41379310344828,2.93103448275862,373
3.5,2.5,374
4,2,375
6.5,2.5,376
7.5,2.5,377
4,2.5,378
4,2.5,379
4.5,2.5,380
6.5,2.5,381
12.1219512195122,2.80487804878049,382
9,2.5,383
8.5,2.5,384
14,2.5,385
15.5,2.5,386
14.3333333333333,2.77777777777778,387
9.5,2.5,388
9.5,2.5,389
NaN,NaN,390
10,2.5,391
9.5,2.5,392
8.5,2.5,393
8.5,2.5,394
9,2.5,395
9.5,2.5,396
9.5,2.5,397
6,2.5,398
5,2.5,399
5.61290322580645,2.45161290322581,400
6,2.5,401
6.11428571428571,2.45714285714286,402
6,2.5,403
9,2.5,404
5,2.5,405
7,2.5,406
6.5,2.5,407
4.61290322580645,2.45161290322581,408
6.5,2.5,409
6,2.5,410
6,2.5,411
5.73333333333333,2.8,412
6,2.80487804878049,413
8.12195121951219,2.80487804878049,414
8.10204081632653,2.75510204081633,415
6.6304347826087,2.82608695652174,416
6,2.5,417
6.21428571428571,2.85714285714286,418
6,2.5,419
7,2.5,420
7,2.87878787878788,421
5.56756756756757,2.83783783783784,422
5.5,2.5,423
9,2.5,424
8,2.5,425
7,2.5,426
11.5,2.5,427
10,2.5,428
6,2.5,429
5,2.87878787878788,430
6,2.5,431
3.5,3,432
8.5,2.5,433
9.43243243243243,2.83783783783784,434
11,2.5,435
6.11428571428571,2.45714285714286,436
6,2.5,437
6,2.5,438
4.5,2.5,439
3.5,2.5,440
4.5,2.5,441
11.5,2.5,442
6.61538461538461,2.46153846153846,443
6.11428571428571,2.45714285714286,444
4.5,3,445
6.11428571428571,2.45714285714286,446
4,2.5,447
3.5,2.5,448
5.5,2.5,449
7,2.5,450
8.5,2.5,451
5.5,2.5,452
8,2.5,453
10,2.5,454
5,2.5,455
6.07142857142857,2.85714285714286,456
5.56756756756757,2.83783783783784,457
6.07142857142857,2.85714285714286,458
8,2.92452830188679,459
6,2.5,460
9,2.5,461
10.5,2.5,462
10,2.5,463
10,2.5,464
10.5,2.5,465
9.5,2.5,466
8.5,2.5,467
8,2.5,468
9,2.5,469
9,2.5,470
8,2.5,471
8.5,2.5,472
8.5,2.5,473
7.5,2.5,474
8.5,2.5,475
8,2.5,476
7.59183673469388,2.95918367346939,477
10.5,2.5,478
11.5,2.5,479
9.5,2.5,480
12.5,2.5,481
12,3,482
13,2.90697674418605,483
10,2.5,484
7.07142857142857,2.85714285714286,485
6,2.5,486
6.5,2.5,487
6.11428571428571,2.45714285714286,488
5.58974358974359,2.94871794871795,489
5.5,2.89473684210526,490
6.1219512195122,2.80487804878049,491
6.07142857142857,2.85714285714286,492
5.5,2.5,493
6.11428571428571,2.45714285714286,494
10,2.5,495
8.10204081632653,2.75510204081633,496
9.5,2.5,497
8,2.5,498
9,2.5,499
10,2.5,500
11,2.5,501
8.5,2.5,502
6.5,2.5,503
6.5,2.5,504
6.5,2.5,505
8.5,2.5,506
5,2.5,507
7,2.5,508
15.5,2.5,509
8.5,2.5,510
9,2.5,511
9,2.5,512
10,2.5,513
9,2.5,514
9.5,2.5,515
10,2.5,516
8,2.5,517
8,2.5,518
9,2.5,519
8.5,2.5,520
8,2.5,521
6.5,2.5,522
6.5,2.5,523
9.5,2.5,524
7.4390243902439,4.07317073170732,525
8.15,3.4,526
8.5,3,527
9,2.5,528
8,2.5,529
7.5,2.5,530
9.5,2.5,531
7.5,2.5,532
9.5,2.5,533
10.5,2.5,534
10.5,2.5,535
9,2.5,536
9,2.5,537
9,2.5,538
10.5,2.5,539
10,2.5,540
10.5,2.5,541
10,2.5,542
8.5,2.5,543
9.5,2.5,544
9.5,2.5,545
6.5,2.5,546
7,2.5,547
9,2.5,548
9,2.5,549
9,2.5,550
9,2.5,551
9,2.5,552
9,2.5,553
8.5,2.89473684210526,554
9,2.5,555
8.5,2.5,556
8,2.5,557
8.5,2.5,558
6.5,2.5,559
7.5,2.5,560
6.5,2.5,561
8.5,2.5,562
8.56756756756757,2.83783783783784,563
9,2.5,564
9,2.5,565
6,2.5,566
5.34210526315789,2.89473684210526,567
5,2.5,568
8.5,3,569
7,2.5,570
7,2.5,571
8,2.5,572
10,2.5,573
9,2.5,574
7.5,2.5,575
8.5,2.5,576
6.5,2.5,577
9,2.5,578
12.3421052631579,2.89473684210526,579
11.4081632653061,2.95918367346939,580
10.3421052631579,2.89473684210526,581
13,2.5,582
8.5,2.5,583
9,2.5,584
10.5,2.5,585
8.5,2.5,586
8.5,2.5,587
8.5,2.5,588
9.5,2.5,589
8.5,2.5,590
8.5,2.5,591
6.5,2.5,592
9.5,2.5,593
9.5,2.5,594
10.5,2.5,595
10.5,2.5,596
12.5,2.5,597
13,2.5,598
18.9117647058824,2.94117647058824,599
16,2.5,600
7,2.5,601
9.08823529411765,2.94117647058824,602
7.5,2.5,603
15.5,2.89473684210526,604
16.1147540983607,9.34426229508197,605
20.5862068965517,2.93103448275862,606
15.3731343283582,4.38805970149254,607
13.9117647058824,2.94117647058824,608
13.4102564102564,2.94871794871795,609
12.8372093023256,2.90697674418605,610
7,2.5,611
5,2.5,612
11.5,2.91666666666667,613
13.94,2.8,614
12.8979591836735,2.75510204081633,615
12.5,2.5,616
12.5,2.5,617
12.4528301886792,2.73584905660377,618
12.5,2.5,619
10.5,2.5,620
10.5,2.5,621
10.5,2.5,622
10,2.5,623
6.5,2.5,624
5,2.5,625
8.5,2.5,626
6,2.5,627
17,2.5,628
11.5,2.5,629
9.5,2.5,630
6.5,2.5,631
10.3275862068966,2.93103448275862,632
10,2.5,633
14.3529411764706,3.38235294117647,634
4.61290322580645,2.45161290322581,635
6.5,2.5,636
14,2.5,637
8.5,2.5,638
14,2.5,639
10.5,2.5,640
13,2.5,641
6.5,2.5,642
6.61538461538461,2.46153846153846,643
6.71052631578947,2.42105263157895,644
6.1219512195122,2.80487804878049,645
5.58974358974359,2.94871794871795,646
6,2.87878787878788,647
11,2.5,648
13.5,2.5,649
7.91176470588235,2.94117647058824,650
6,2.5,651
8,2.5,652
8.5,2.5,653
7.16279069767442,2.90697674418605,654
9.5,2.5,655
9.5,2.5,656
14.5,2.5,657
12.2777777777778,3.24074074074074,658
11.9090909090909,2.95454545454545,659
8.5,2.5,660
8.5,2.5,661
8.5,2.5,662
8,2.5,663
11,2.5,664
17,2.5,665
8.5,2.5,666
8.5,2.5,667
5.5,2.5,668
10.2641509433962,2.73584905660377,669
6.5,2.5,670
6,2.5,671
6,3,672
13,2.5,673
10,2.5,674
18,2.5,675
20,2.5,676
13.5,2.5,677
10,2.5,678
11,2.5,679
11.5,2.5,680
11.5,2.5,681
11,2.5,682
11,2.5,683
11,2.5,684
12.4324324324324,2.83783783783784,685
8.5,2.5,686
8.5,2.5,687
8.5,2.5,688
8,2.5,689
11.5,2.5,690
11.5,2.5,691
11.5,2.5,692
11.5,2.5,693
11.5,2.5,694
11.5,2.5,695
11.5,2.5,696
11.5,2.5,697
12,2.5,698
12,2.5,699
11.5,2.5,700
11.5,2.5,701
8.91176470588235,2.94117647058824,702
9,2.5,703
9,2.5,704
9,2.5,705
9,2.5,706
9,2.5,707
9,2.5,708
9,2.5,709
9,2.5,710
10.5555555555556,2.77777777777778,711
6.61538461538461,2.46153846153846,712
6.5,2.5,713
5,2.5,714
6.11428571428571,2.45714285714286,715
6.11428571428571,2.45714285714286,716
6.07142857142857,2.85714285714286,717
6.1219512195122,2.80487804878049,718
5,2.5,719
6,2.90697674418605,720
6.11428571428571,2.45714285714286,721
5.5,2.5,722
5.5,2.5,723
4,2.5,724
5,2.5,725
5.5,2.5,726
8,2.5,727
6,2.5,728
3.41379310344828,2.93103448275862,729
3.5,2.5,730
3,3,731
6.27272727272727,2.36363636363636,732
7,2.5,733
5.61290322580645,2.45161290322581,734
6.11428571428571,2.45714285714286,735
6.59183673469388,2.95918367346939,736
6.66666666666667,2.77777777777778,737
8.5,3.39130434782609,738
6.11428571428571,2.45714285714286,739
5.65789473684211,2.89473684210526,740
5.56756756756757,2.83783783783784,741
5.58974358974359,2.94871794871795,742
8.33333333333333,2.91666666666667,743
5.58974358974359,2.94871794871795,744
3.5,2.5,745
5.65789473684211,2.89473684210526,746
3.5,2.5,747
3.5,2.5,748
NaN,NaN,749
5.11111111111111,2.44444444444444,750
5.5,2.5,751
5.61290322580645,2.45161290322581,752
5.58974358974359,2.94871794871795,753
6.07142857142857,2.85714285714286,754
4.5,2.5,755
4.5,2.5,756
5,2.5,757
5.11111111111111,2.44444444444444,758
5.11111111111111,2.44444444444444,759
3.5,2.5,760
6,2.5,761
5.61290322580645,2.45161290322581,762
6.16279069767442,2.90697674418605,763
5,2.87878787878788,764
5.58974358974359,2.94871794871795,765
6.16279069767442,2.90697674418605,766
6.1219512195122,2.80487804878049,767
5.5,2.5,768
6.07142857142857,2.85714285714286,769
5,2.5,770
5.08823529411765,2.94117647058824,771
6.5,2.5,772
12.5,2.5,773
6.31707317073171,2.82926829268293,774
6.11428571428571,2.45714285714286,775
7,3,776
6.11428571428571,2.45714285714286,777
6.16279069767442,2.90697674418605,778
3.5,2.5,779
4,2.5,780
4.60869565217391,2.43478260869565,781
5,2.5,782
6.11428571428571,2.45714285714286,783
6,2.5,784
6.225,2.775,785
6.11428571428571,2.45714285714286,786
4.5,2.5,787
