x,y,t
17,3.5,1
10,3.375,2
9.28571428571429,3.32142857142857,3
13.5,3,4
16.4561403508772,3.96491228070175,5
11.0212765957447,3.5531914893617,6
11.2063492063492,3.87301587301587,7
7,2.5,8
18.9117647058824,2.94117647058824,9
7.5,3,10
8.3695652173913,3.39130434782609,11
16,3,12
10.5,3,13
16.7272727272727,3.27272727272727,14
16.9148936170213,3.46808510638298,15
16.3333333333333,2.91666666666667,16
10.5,3,17
10.3636363636364,7.36363636363636,18
6.41379310344828,2.93103448275862,19
14.5576923076923,3.51923076923077,20
12,3,21
9.39285714285714,3.32142857142857,22
13,3,23
17.7142857142857,3.26530612244898,24
14,20.5,25
6.5,3.5,26
6.39130434782609,4.6304347826087,27
5.57142857142857,3.42857142857143,28
4.57142857142857,3.57142857142857,29
7.68518518518519,5.64814814814815,30
7,4.5,31
7,4.5,32
18.5,3,33
18.5714285714286,3.42857142857143,34
13,3,35
13,3,36
13,3,37
13,3,38
10.8148148148148,3.24074074074074,39
10.5,3.32142857142857,40
18.0909090909091,2.95454545454545,41
10.8103448275862,3.3448275862069,42
13.6923076923077,3.69230769230769,43
8.41025641025641,2.94871794871795,44
13.5,3,45
18.8484848484848,2.87878787878788,46
18,3,47
8,3.5,48
11,3.5,49
20.5714285714286,7.42857142857143,50
10.74,3.32,51
16.9,3.6,52
17.9090909090909,2.95454545454545,53
10,3.5,54
9.5,3,55
18.1224489795918,3.6530612244898,56
14,3,57
9.125,3.41666666666667,58
15,3,59
10.5918367346939,2.95918367346939,60
8.9,3.3,61
9,3,62
7.72340425531915,2.87234042553191,63
19.2765957446809,2.87234042553191,64
18,3,65
18.5555555555556,3.55555555555556,66
10.5,3,67
16.1224489795918,3.3469387755102,68
17.5,3,69
13.1896551724138,3.3448275862069,70
15.4285714285714,3.57142857142857,71
19.5714285714286,3.57142857142857,72
6.45762711864407,5.96610169491525,73
19.1224489795918,3.3469387755102,74
14.9259259259259,3.96296296296296,75
13.051724137931,3.58620689655172,76
18,3,77
12.2777777777778,3.24074074074074,78
8.59183673469388,2.95918367346939,79
7,2.5,80
7.09090909090909,2.95454545454545,81
10,3,82
7.64705882352941,3.38235294117647,83
18.3833333333333,27.2666666666667,84
10.7222222222222,3.24074074074074,85
10.5,3,86
11.6666666666667,3.33333333333333,87
15,3,88
18.5714285714286,3.42857142857143,89
16.5,3,90
14.3333333333333,3.33333333333333,91
14,3,92
14,3,93
14,3,94
14,3,95
14,3,96
13.5,3,97
14,3,98
13.5,3,99
14,3,100
13.5,3,101
13.5,3,102
14,3,103
13.5,3,104
13.5,3,105
14.6666666666667,3.33333333333333,106
14.0909090909091,2.95454545454545,107
14.0909090909091,2.95454545454545,108
14.5,3,109
14.9245283018868,3.45283018867925,110
12.5,3,111
12.5,3,112
12.5,3,113
12.5,3,114
12.5,3,115
11.4444444444444,3.33333333333333,116
7.40816326530612,2.95918367346939,117
10.5,3,118
6,4,119
17.5,3,120
19.5,3,121
15.5740740740741,3.59259259259259,122
9.35714285714286,2.85714285714286,123
11.5,3.5,124
16.5,2.91666666666667,125
18.5,3,126
19.5555555555556,7.55555555555556,127
14.7142857142857,4.67857142857143,128
9.89830508474576,3.23728813559322,129
18.4444444444444,5.50793650793651,130
14,3.5,131
7.1219512195122,2.80487804878049,132
7.5,2.5,133
18.4102564102564,2.94871794871795,134
7.27450980392157,2.84313725490196,135
16.5,3,136
10,3,137
19.4285714285714,3.42857142857143,138
13.9,3.4,139
12.4761904761905,4.53968253968254,140
10.5,3,141
16,3,142
20.0512820512821,3.43589743589744,143
8.8,3.3,144
10.1,3.4,145
12.5,2.91666666666667,146
9,3,147
8,2.87878787878788,148
