x,y,t
13.9411764705882,4.35294117647059,1
6,4.5,2
8.5,4,3
9,4,4
11.4285714285714,3.42857142857143,5
7.5,4,6
12,3,7
9.43137254901961,3.96078431372549,8
9.57142857142857,3.57142857142857,9
9.57446808510638,3.5531914893617,10
11.3333333333333,3.66666666666667,11
5.5,4,12
13.8,3.7,13
12.5555555555556,4.44444444444444,14
14.4444444444444,3.33333333333333,15
9,4,16
18.4137931034483,2.93103448275862,17
8.33333333333333,3.66666666666667,18
10.6304347826087,3.60869565217391,19
10.6304347826087,3.60869565217391,20
11.6304347826087,3.60869565217391,21
11.2,3.7,22
4.5,4,23
17.5,3,24
5.5,4,25
7.5,4.5,26
14.6666666666667,4.33333333333333,27
10.6304347826087,4.39130434782609,28
9.01785714285714,4.05357142857143,29
11.9245283018868,3.45283018867925,30
13.5,4,31
8.42857142857143,4.42857142857143,32
9.07317073170732,4.4390243902439,33
4.3695652173913,4.39130434782609,34
12.9821428571429,4.05357142857143,35
10,4.5,36
16.0178571428571,3.94642857142857,37
16.5,3.5,38
16.5609756097561,3.92682926829268,39
12,3.5,40
18,3,41
9.55555555555556,3.55555555555556,42
8.57142857142857,3.42857142857143,43
11.0178571428571,4.05357142857143,44
4.5,4,45
4.5,4.5,46
8.5,4,47
12.5,4.5,48
12,3.625,49
11.125,4.375,50
11.5,4,51
13.5,3.5,52
11.125,4.05357142857143,53
4.5,4,54
14.5,3.5,55
8,4,56
9.52941176470588,4.05882352941176,57
10,4.375,58
5.63636363636364,4.27272727272727,59
6,6.5,60
16.5,9.5,61
20.5641025641026,18.9487179487179,62
8.31481481481481,32.3333333333333,63
12.962962962963,15.9444444444444,64
12.4489795918367,15.9591836734694,65
15.0208333333333,4.47916666666667,66
15.0681818181818,4.04545454545455,67
15.0681818181818,4.04545454545455,68
15,5,69
15.125,5.625,70
15,5.5,71
15.0731707317073,5.5609756097561,72
15.125,5.625,73
15.5,5.5,74
17.4444444444444,3.44444444444444,75
18,3.625,76
17.9268292682927,4.4390243902439,77
18,5,78
17.5555555555556,3.55555555555556,79
18.5,4.5,80
18.5,4.5,81
18.9411764705882,4.47058823529412,82
19.4285714285714,4.42857142857143,83
19.5,4.5,84
19,4,85
18.9347826086957,3.95652173913043,86
18.625,4.125,87
19.375,3.875,88
19.375,3.875,89
19.375,3.875,90
19.375,3.875,91
19.375,3.875,92
19.375,3.875,93
19.375,3.875,94
19.375,3.875,95
19.375,3.875,96
19.375,3.875,97
19.375,3.875,98
19.375,3.875,99
19.375,3.875,100
19.375,3.875,101
19.375,3.875,102
