x,y,t,id
964.892744479495,509.687697160883,1,1
968.463636363636,514.527272727273,2,1
NaN,NaN,3,1
NaN,NaN,4,1
NaN,NaN,5,1
NaN,NaN,6,1
926.042763157895,494.421052631579,7,1
932.504559270517,476.483282674772,8,1
NaN,NaN,9,1
NaN,NaN,10,1
NaN,NaN,11,1
NaN,NaN,12,1
939.847826086957,405.711180124224,13,1
951.194202898551,398.805797101449,14,1
958.781163434903,401.351800554017,15,1
NaN,NaN,16,1
NaN,NaN,17,1
984.320987654321,449.123456790123,18,1
993.380530973451,465.941002949853,19,1
1001.92941176471,475.423529411765,20,1
NaN,NaN,21,1
NaN,NaN,22,1
NaN,NaN,23,1
NaN,NaN,24,1
NaN,NaN,25,1
984.639751552795,524.282608695652,26,1
961.958823529412,525.544117647059,27,1
940.897058823529,519.517647058824,28,1
921.068047337278,506.556213017751,29,1
NaN,NaN,30,1
NaN,NaN,31,1
NaN,NaN,32,1
NaN,NaN,33,1
NaN,NaN,34,1
NaN,NaN,35,1
NaN,NaN,36,1
NaN,NaN,37,1
863.230061349693,355.273006134969,38,1
860.496710526316,336.947368421053,39,1
NaN,NaN,40,1
NaN,NaN,41,1
NaN,NaN,42,1
NaN,NaN,43,1
NaN,NaN,44,1
NaN,NaN,45,1
NaN,NaN,46,1
871.556962025316,204.949367088608,47,1
NaN,NaN,48,1
NaN,NaN,49,1
NaN,NaN,50,1
NaN,NaN,51,1
NaN,NaN,52,1
NaN,NaN,53,1
860.577049180328,71.3672131147541,54,1
NaN,NaN,55,1
828.003344481605,55.0334448160535,56,1
811.037974683544,51.5284810126582,57,1
947,982.583333333333,58,1
NaN,NaN,59,1
NaN,NaN,60,1
947,982.583333333333,61,1
947.5,982.5,62,1
947.045871559633,982.54128440367,63,1
947,982.583333333333,64,1
947.045871559633,982.54128440367,65,1
947.5,982.5,66,1
947.5,982.5,67,1
NaN,NaN,68,1
947.5,982.5,69,1
