x,y,t,id
1025.68534482759,497.650862068966,1,1
1024.60256410256,497.457264957265,2,1
1018.78189300412,496.670781893004,3,1
1005.18884120172,495.751072961373,4,1
986.278884462151,494.09561752988,5,1
974.395652173913,496.365217391304,6,1
967.03734439834,503.510373443983,7,1
952.6,506.448,8,1
934.047244094488,509.003937007874,9,1
921.046875,515.5390625,10,1
910.612403100775,524.220930232558,11,1
897.041493775934,527.775933609959,12,1
883.137651821862,530.522267206478,13,1
871.965779467681,535.48288973384,14,1
858.15652173913,538.969565217391,15,1
849.024,541.028,16,1
844.683397683398,544.100386100386,17,1
840.874045801527,549.335877862595,18,1
832.513409961686,558.065134099617,19,1
819.697318007663,568.183908045977,20,1
814.608,571.528,21,1
805.032653061224,576.902040816327,22,1
795.988188976378,583.925196850394,23,1
787.756302521008,592.285714285714,24,1
786.067729083665,594.151394422311,25,1
785.969348659004,594.490421455939,26,1
785.136363636364,594.636363636364,27,1
776.017021276596,593.004255319149,28,1
765.160305343511,589.282442748092,29,1
753.957081545064,586.004291845494,30,1
744.12,585.52,31,1
738.514403292181,584.77366255144,32,1
727.926724137931,585.814655172414,33,1
717.513725490196,589.525490196078,34,1
712.474308300395,592.478260869565,35,1
703.855072463768,597.43115942029,36,1
694.675675675676,601.250965250965,37,1
689.961538461538,601.726495726496,38,1
679.224137931035,600.228448275862,39,1
671.927038626609,599.751072961373,40,1
670.687242798354,599.794238683128,41,1
667.835390946502,598.609053497942,42,1
661.796812749004,595.151394422311,43,1
653.841698841699,586.552123552124,44,1
649.945833333333,578.483333333333,45,1
647.9625,573.5625,46,1
647.465306122449,570.938775510204,47,1
646.131147540984,561.397540983607,48,1
645.748936170213,555.114893617021,49,1
645.389763779528,548.267716535433,50,1
641.214788732394,538.380281690141,51,1
639.480158730159,536.43253968254,52,1
638.154761904762,535.853174603175,53,1
636.532567049808,534.030651340996,54,1
629.016597510373,531.626556016598,55,1
614.113924050633,532.151898734177,56,1
606.051724137931,533.077586206897,57,1
594.353846153846,536.923076923077,58,1
579.634980988593,542.19391634981,59,1
568.086956521739,546.130434782609,60,1
556.967741935484,550.064516129032,61,1
548.004291845494,552.197424892704,62,1
540.109756097561,551.410569105691,63,1
535.170833333333,549.379166666667,64,1
530.78417266187,546.848920863309,65,1
525.058577405858,542.426778242678,66,1
519.24,534.716,67,1
513.867158671587,524.317343173432,68,1
511.450413223141,516.99173553719,69,1
508.029045643154,507.535269709544,70,1
505.551587301587,504.511904761905,71,1
504.98353909465,502.58024691358,72,1
505.238683127572,501.230452674897,73,1
500.847583643123,494.074349442379,74,1
495.525547445255,489.521897810219,75,1
486.200743494424,483.843866171004,76,1
482.338645418327,479.601593625498,77,1
478.581673306773,474.498007968127,78,1
473.559845559846,469.864864864865,79,1
466.283261802575,467.763948497854,80,1
459.085365853659,468.552845528455,81,1
456.043650793651,469.968253968254,82,1
450.776315789474,470.644736842105,83,1
442.450819672131,472.950819672131,84,1
437.378378378378,476.992277992278,85,1
433.424,482.4,86,1
426.653386454183,487.529880478088,87,1
420.996183206107,493.473282442748,88,1
419.189300411523,501.818930041152,89,1
417.871900826446,510.322314049587,90,1
417.548387096774,513.556451612903,91,1
415.162698412698,521.134920634921,92,1
410.01244813278,530.54356846473,93,1
404.393574297189,538.345381526104,94,1
398.891213389121,549.334728033473,95,1
396.03984063745,555.099601593625,96,1
396.00826446281,555.48347107438,97,1
396.045454545455,555.590909090909,98,1
396.518367346939,556.951020408163,99,1
398.024193548387,560.036290322581,100,1
398.076923076923,560.948717948718,101,1
397.09126984127,566.56746031746,102,1
398.080508474576,575.944915254237,103,1
401.995951417004,585.040485829959,104,1
406.440816326531,592.477551020408,105,1
409.857692307692,599.703846153846,106,1
414.004048582996,606.012145748988,107,1
420.89029535865,611.569620253165,108,1
424.526315789474,614.562753036437,109,1
426.375,615.556451612903,110,1
427.418410041841,616.016736401674,111,1
427.970833333333,616.558333333333,112,1
428.040322580645,617.040322580645,113,1
428.584033613445,617.90756302521,114,1
428.951417004049,618.040485829959,115,1
428.963709677419,618.137096774194,116,1
431.349206349206,618.690476190476,117,1
435.676348547718,618.07468879668,118,1
441.557851239669,616.037190082645,119,1
449.429149797571,609.437246963563,120,1
453.59756097561,602.085365853659,121,1
459.027027027027,592.513513513514,122,1
462.374501992032,585.462151394422,123,1
469.2156133829,575.301115241636,124,1
475.473282442748,568.068702290076,125,1
479.560784313725,561.572549019608,126,1
480.701612903226,556.108870967742,127,1
480.52422907489,549.960352422907,128,1
480.5,548,129,1
480.820512820513,548.029914529915,130,1
480.5,547.5,131,1
479.477366255144,544.975308641975,132,1
477.97520661157,536.03305785124,133,1
476.552845528455,526.060975609756,134,1
476.877118644068,517.817796610169,135,1
475.855371900826,511.665289256198,136,1
471.593360995851,502.04979253112,137,1
471.926530612245,491.432653061224,138,1
473.92125984252,482.893700787402,139,1
478.598513011152,475.676579925651,140,1
486.298850574713,466.865900383142,141,1
497.927419354839,461.129032258065,142,1
505.841698841699,457.447876447876,143,1
516.567901234568,455.024691358025,144,1
525.849137931035,453.823275862069,145,1
532.733333333333,454.388235294118,146,1
541.029166666667,459.404166666667,147,1
548.109243697479,463.424369747899,148,1
556.944,468.068,149,1
564.126482213439,471.865612648221,150,1
569.427385892116,476.020746887967,151,1
571.98,481.212,152,1
572.826271186441,485.991525423729,153,1
570.311475409836,493.889344262295,154,1
566.519313304721,504.587982832618,155,1
565.451219512195,508.959349593496,156,1
562.842105263158,514.308270676692,157,1
562.211618257261,514.647302904564,158,1
562.088,514.94,159,1
562.163265306122,514.657142857143,160,1
561.96015936255,514.90438247012,161,1
562.116182572614,514.56846473029,162,1
562.099173553719,514.53305785124,163,1
561.996,514.844,164,1
562.055335968379,514.920948616601,165,1
562.095041322314,514.582644628099,166,1
562.087136929461,514.485477178423,167,1
562.0622406639,514.580912863071,168,1
562.020746887967,514.572614107884,169,1
562.07468879668,514.55601659751,170,1
562.099601593625,514.924302788845,171,1
561.99604743083,514.96837944664,172,1
562.098360655738,514.577868852459,173,1
561.96812749004,514.888446215139,174,1
561.996031746032,514.853174603175,175,1
561.976,514.984,176,1
561.97510373444,514.48132780083,177,1
561.956349206349,514.849206349206,178,1
561.95041322314,514.462809917355,179,1
561.95041322314,514.462809917355,180,1
561.983402489627,514.464730290456,181,1
562.020920502092,514.481171548117,182,1
561.930041152263,514.481481481482,183,1
561.979423868313,514.473251028807,184,1
561.540322580645,514.548387096774,185,1
559.626556016598,515.0622406639,186,1
555.021367521368,516.025641025641,187,1
549.008130081301,516.646341463415,188,1
541.5,517.5,189,1
532.758620689655,518.333333333333,190,1
525.020408163265,520.477551020408,191,1
515.660714285714,522.957142857143,192,1
508.486055776892,524.378486055777,193,1
504.107883817427,525.659751037344,194,1
496.492537313433,530.541044776119,195,1
490.035714285714,534.123015873016,196,1
483.408,535.6,197,1
477.48347107438,536.929752066116,198,1
474.059574468085,536.855319148936,199,1
466.916334661355,537.91235059761,200,1
457.034782608696,540.178260869565,201,1
447.861003861004,538.610038610039,202,1
441.494071146245,536.569169960474,203,1
437.401673640167,534.121338912134,204,1
430.308016877637,530.257383966245,205,1
420.412844036697,529,206,1
414.661157024793,527.892561983471,207,1
409.759036144578,524.273092369478,208,1
408.930041152263,522.567901234568,209,1
408.429184549356,519.575107296137,210,1
408.404166666667,518.970833333333,211,1
408.380952380952,518.619047619048,212,1
407.948207171315,519.92828685259,213,1
407.54347826087,519.44347826087,214,1
407.52380952381,519.47619047619,215,1
407.832635983264,519.598326359833,216,1
407.552173913043,519.465217391304,217,1
407.584033613445,519.894957983193,218,1
407.52380952381,519.47619047619,219,1
407.556485355649,519.857740585774,220,1
407.784552845528,520.016260162602,221,1
407.529411764706,519.86974789916,222,1
407.480349344978,519.532751091703,223,1
407.610878661088,519.933054393305,224,1
407.782426778243,519.63179916318,225,1
407.197478991597,519.399159663866,226,1
407.263157894737,519.785425101215,227,1
407.451754385965,519.543859649123,228,1
407.738396624473,519.675105485232,229,1
407.837398373984,520.040650406504,230,1
407.493392070485,519.607929515419,231,1
407.49609375,519.9453125,232,1
407.093117408907,519.919028340081,233,1
407.495967741935,520.451612903226,234,1
407.37552742616,520.054852320675,235,1
407.067729083665,520.892430278884,236,1
404.883817427386,521.639004149378,237,1
400.15611814346,524.586497890295,238,1
395.948207171315,527.964143426295,239,1
392.15,530.625,240,1
390.789029535865,531.291139240506,241,1
390.855319148936,531.365957446808,242,1
389.065040650407,533.10162601626,243,1
385.430379746835,534.932489451477,244,1
NaN,NaN,245,1
NaN,NaN,246,1
NaN,NaN,247,1
NaN,NaN,248,1
NaN,NaN,249,1
NaN,NaN,250,1
NaN,NaN,251,1
NaN,NaN,252,1
NaN,NaN,253,1
NaN,NaN,254,1
