"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.IR9154",0.0100853199231792,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9154",0.318902083522324,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9154",0.183620328937057,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9155",0.120362749578178,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9155",0.00328845759443154,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9155",0.409658242490073,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9155",0.162659250430126,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9156",0.107997799221379,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9156",0.00978511106564499,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9156",0.327155920277647,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9156",0.113682428668345,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9157",0.0820112442118667,"sigsq.wavelet.CR","Colony","Rhythmicity"
