"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.IR9096",0.00414746145207955,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9096",0.400446948600276,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9096",0.0855319381294917,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9097",0.061685838920208,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9097",0.00524242570035164,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9097",0.342195465338033,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9097",0.204475568227466,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9098",0.118139866879582,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9098",0.00380350407355428,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9098",0.262928682073268,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9098",0.0602406798623488,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9099",0.0641404983169392,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9099",0.00364170627210235,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9099",0.338614825823331,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9099",0.145300618188112,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9100",0.0779464865230477,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9100",0.0030141880316572,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9100",0.433032216622185,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9100",0.158326460989911,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9101",0.0847684794614277,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9101",0.00646698885910355,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9101",0.347883778892462,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9101",0.0569954276639715,"sigsq.period.IR","Individual","Period"
