Individual,Dominant_Period,cf_wavelet,nancount,Date,Colony,Species,Origin
10_3_38,36.85578948,2.296981856,0.020833333,10/3/2022,LAT12,Temnothorax_nitens,San_Gabriel_Mountains_CA
10_3_39,48.63150578,2.582876029,0.215625,10/3/2022,LAT12,Temnothorax_nitens,San_Gabriel_Mountains_CA
10_3_4,21.16809238,2.655650857,0.169791667,10/3/2022,PA2247,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_40,13.03048934,2.83632313,0.017708333,10/3/2022,CASL1,Leptothorax_crassipilis-nr-a,Ruidoso_NM
10_3_41,21.16809238,2.926002018,0.289583333,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_42,13.96573267,2.810242003,0.015625,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_43,29.93620333,3.091071756,0.001041667,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_44,36.85578948,2.610398719,0.197916667,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_45,26.06097867,2.50257078,0.002083333,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_46,59.87240666,3.096091163,0.003125,10/3/2022,PA2243,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_47,27.93146535,2.96360186,0.002083333,10/3/2022,PA2243,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_48,24.31575289,2.383686197,0,10/3/2022,PA2243,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_6,26.06097867,2.807466989,0.152083333,10/3/2022,PA2247,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_7,12.15787645,2.407557804,0,10/3/2022,BFLT1,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX
10_3_8,39.50105711,3.783531331,0,10/3/2022,HML1,Leptothorax_az02,Huachuca_Mountains_AZ
10_3_9,13.96573267,2.449813654,0.064583333,10/3/2022,PWT2,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
6_20_1,16.04241415,2.410875456,0.014583333,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_10,10.58404619,2.728258372,0,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_11,16.04241415,2.884271483,0.028125,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_12,9.875264278,2.760724606,0,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_13,9.213947371,2.444257783,0.260416667,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_14,13.96573267,2.69223641,0.240625,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_15,11.34369983,2.878984081,0.00625,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_17,19.75052856,2.551189761,0.2125,6/20/2022,HMTr7,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_18,22.68739966,2.924182231,0.089583333,6/20/2022,HMTr7,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_19,24.31575289,2.618349095,0.155208333,6/20/2022,HMTr2,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_2,13.03048934,2.774895055,0.016666667,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_20,34.38766752,2.763940911,0.020833333,6/20/2022,HMTr2,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_21,14.96810166,2.492785608,0.002083333,6/20/2022,HMTr2,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_22,27.93146535,2.545596508,0.014583333,6/20/2022,HM1T7,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_23,12.15787645,2.412453904,0.008333333,6/20/2022,HM1T7,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_24,29.93620333,2.567254542,0.002083333,6/20/2022,HM1T7,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_25,36.85578948,2.740320173,0.010416667,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_26,13.03048934,2.514643346,0.0125,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_27,68.77533504,2.676475804,0.0375,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_28,13.03048934,2.261576878,0.008333333,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_29,18.42789474,2.759486252,0.060416667,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_3,17.19383376,2.587745146,0.019791667,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_30,13.96573267,2.324914751,0.023958333,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_31,12.15787645,2.867164525,0.01875,6/20/2022,PPT11,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_32,12.15787645,2.473630398,0.004166667,6/20/2022,PPT11,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_33,16.04241415,2.402631404,0.007291667,6/20/2022,PPT11,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_34,22.68739966,3.146490956,0.014583333,6/20/2022,HM1T5,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_35,10.58404619,2.305818787,0.025,6/20/2022,HM1T5,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_36,13.03048934,2.294677805,0.104166667,6/20/2022,HM1T5,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_37,22.68739966,2.870529001,0.033333333,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_38,48.63150578,2.799863848,0.040625,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_39,13.03048934,2.706626234,0.010416667,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_4,26.06097867,3.304093222,0.008333333,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_40,24.31575289,2.95948873,0.0125,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_41,34.38766752,2.501238419,0.028125,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_42,29.93620333,3.001329283,0.010416667,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_43,16.04241415,2.516461457,0.003125,6/20/2022,PPT9,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_44,18.42789474,2.709445006,0,6/20/2022,PPT9,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_45,36.85578948,2.249297327,0.004166667,6/20/2022,PPT9,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_46,11.34369983,2.919945304,0.010416667,6/20/2022,PPL4,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_47,13.96573267,2.285852018,0,6/20/2022,PPL4,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_48,24.31575289,2.55499277,0,6/20/2022,PPL4,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_5,10.58404619,2.389949644,0.007291667,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_6,10.58404619,2.926680308,0.004166667,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_7,18.42789474,2.972591636,0,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_8,22.68739966,2.684472172,0.002083333,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_9,9.875264278,2.57966185,0,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_1,27.93146535,2.649658974,0.008333333,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_10,26.06097867,2.614451974,0.027083333,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
