Individual,Dominant_Period,cf_wavelet,nancount,Date,Colony,Species,Origin
7_18_11,24.31575289,2.410248869,0.016666667,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_12,52.12195734,2.891908212,0.0125,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_13,9.875264278,2.591576524,0.034375,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_14,55.86293069,2.505168952,0,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_15,13.03048934,2.49075716,0.0125,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_16,12.15787645,2.771620648,0.072916667,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_17,17.19383376,2.694701888,0.064583333,7/18/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_18_18,13.96573267,2.817925855,0.094791667,7/18/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_18_19,24.31575289,2.855553719,0.159375,7/18/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_18_2,16.04241415,2.725000329,0,7/18/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_18_20,17.19383376,2.726372425,0,7/18/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
