"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.IR9543",0.0118437074487668,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9543",0.112816204018858,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9543",0.0581412137151099,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9544",0.0955998620436259,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9544",0.00338432803596052,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9544",0.402232845009394,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9544",0.279355076509734,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9545",0.162260124243086,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9545",0.0104661393287829,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9545",0.322010928820622,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9545",0.128317188251432,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9546",0.110858995070722,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9546",0.0136437684598052,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9546",0.379797615637367,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9546",0.165744268359529,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9547",0.120608881830696,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9547",0.0142291437275359,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9547",0.407017430511393,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9547",0.153864612367403,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9548",0.0986872849397044,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9548",0.00565413848810738,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9548",0.317983716065476,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9548",0.132076885670915,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9549",0.113154838189065,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9549",0.0175431807974136,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9549",0.244627117106053,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9549",0.180461959374937,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9550",0.07319302976744,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9550",0.0110495862843471,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9550",0.29476417269959,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9550",0.05646061414444,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9551",0.0751640214945788,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9551",0.00788660734700118,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9551",0.398803723031538,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9551",0.222203983664075,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9552",0.117194255563535,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9552",0.00454031357523899,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9552",0.311282141094542,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9552",0.153962812165976,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9553",0.121578835334361,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9553",0.0105854858200843,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9553",0.318418631817993,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9553",0.22315395649611,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9554",0.120512943779804,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9554",0.00986087326841366,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9554",0.342822574317095,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9554",0.161165892847326,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9555",0.0932857779764941,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9555",0.00313373515037718,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9555",0.379768127101258,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9555",0.220040976310803,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9556",0.129525364570717,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9556",0.0061242631596568,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9556",0.282714039787787,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9556",0.280984015394806,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9557",0.101167897850399,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9557",0.00692695070046601,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9557",0.329817340062564,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9557",0.0846489678307407,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9558",0.129004892779519,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9558",0.00596524454801074,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9558",0.315177439617413,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9558",0.101177094128379,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9559",0.182550229165914,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9559",0.0119100688585245,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9559",0.292425896722547,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9559",0.318568779878728,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9560",0.0842505153579231,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9560",0.00838519596693803,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9560",0.279587297279608,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9560",0.0539879944243931,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9561",0.155204773384141,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9561",0.0025511635192314,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9561",0.273606610471548,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9561",0.210232295948532,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9562",0.0713068284249584,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9562",0.00860119486185156,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9562",0.290498148838123,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9562",0.144973775044508,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9563",0.0723891803285566,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9563",0.0125462412367159,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9563",0.354710168616878,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9563",0.125573445042704,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9564",0.0597096384320712,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9564",0.0120116214776334,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9564",0.110019324713534,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9564",0.304424487924842,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9565",0.270117971584374,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9565",0.0122977244591699,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9565",0.315527220766209,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9565",0.0835533057071282,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9566",0.0980469938894495,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9566",0.0128053220983368,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9566",0.282045616126079,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9566",0.10411908387808,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9567",0.124564519951834,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9567",0.00567685124712595,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9567",0.388451272722565,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9567",0.0587437539877285,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9568",0.0632051795676118,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9568",0.0143322210247908,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9568",0.339361270834,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9568",0.262378263135647,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9569",0.0929191208336379,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9569",0.00295306215388239,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9569",0.31988339077428,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9569",0.0634228319345339,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9570",0.16534122042575,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9570",0.0118183616167309,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9570",0.229886086762033,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9570",0.326378563470039,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9571",0.147240744392768,"sigsq.wavelet.CR","Colony","Rhythmicity"
