"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.CR9464",0.157788843040874,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9464",0.0204896345762225,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9464",0.383606185315252,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9464",0.0645559592439817,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9465",0.0585276610602092,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9465",0.0172500772146705,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9465",0.362671720193895,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9465",0.0760343986225561,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9466",0.0625996518406347,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9466",0.0105307207117314,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9466",0.338876282502412,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9466",0.171827322818709,"sigsq.period.IR","Individual","Period"
